brand,model,price,year,mileage,engine_power,engine_displacement,fuel_consumption,registration_until,service_book,garage_kept,num_of_features
Audi,A6 Avant,20500.0,2012,295000,230,3.0,8.0,2025-03-31,False,False,65
Audi,A6 Avant,13650.0,2007,255000,225,3.0,8.0,2024-11-30,False,False,54
Fiat,Barchetta,5000.0,2001,150000,100,1.8,9.0,2024-08-31,False,False,15
BMW,Serija 5 Touring,18900.0,2016,230000,140,2.0,6.0,2024-04-30,False,True,54
Fiat,Seicento,2500.0,2000,235000,29,0.896,4.0,2025-10-31,False,False,2
BMW,Serija 3,15000.0,2013,325000,105,1.995,5.0,2024-01-31,False,False,32
BMW,X5,28000.0,2015,262000,205,3.0,8.0,2025-03-31,False,True,53
Citroen,Berlingo,3000.0,2001,162000,55,1.4,7.0,2026-01-31,False,False,22
BMW,Serija 3,9200.0,2013,291000,105,2.0,5.0,2025-04-30,False,False,43
Audi,A4 Avant,16500.0,2016,171000,110,1.999,5.0,2023-07-31,False,False,1
BMW,X5,8900.0,2005,389500,160,2.968,9.0,2024-03-31,False,True,74
BMW,Serija 7,7470.0,2004,331000,190,2.997,9.0,2025-09-30,False,True,71
Citroen,C4 Picasso,7700.0,2012,105000,82,1.56,7.0,2025-12-31,False,True,38
BMW,Serija 1,5900.0,2007,220000,105,1.995,7.0,2024-07-31,False,True,40
BMW,Serija 5,17999.0,2013,158300,135,1.995,6.0,2025-10-31,False,True,61
Audi,A2,5000.0,2001,256000,55,1.4,4.0,2025-11-30,False,True,3
BMW,X3,16450.0,2010,226000,135,2.0,7.0,2025-03-31,False,True,56
BMW,X6,24970.0,2013,209000,225,2.998,9.0,2024-06-30,False,True,55
BMW,Serija 3,15800.0,2014,205000,110,1.8,5.0,2025-04-30,False,True,29
Alfa Romeo,166,3000.0,2004,277000,110,2.4,8.0,2024-12-31,False,True,32
Fiat,Punto,750.0,2004,258000,44,1.249,5.0,2025-02-28,False,False,6
BMW,Serija 3,16999.0,2018,142000,110,2.0,5.0,2025-04-30,False,False,38
BMW,Serija 5 Touring,7900.0,2010,370000,135,2.0,6.0,2025-11-30,False,False,6
BMW,Serija 3 Touring,9999.0,2014,270000,105,2.0,6.0,2025-07-31,False,False,55
BMW,Serija 5,18900.0,2016,215000,110,1.995,6.0,2025-04-30,False,True,62
BMW,X2,29500.0,2019,110000,110,1.995,6.0,2025-02-28,False,True,71
BMW,X5,29000.0,2014,280000,190,2.993,8.0,2025-10-31,False,True,37
Audi,A3 Coupe,6200.0,2006,220000,77,1.896,5.0,2025-07-31,False,False,26
Fiat,500,6950.0,2015,111200,51,1.2,5.0,2025-12-31,False,False,5
BMW,X3,39900.0,2020,97000,140,2.0,6.0,2025-09-30,False,True,54
BMW,Serija 3,5400.0,2010,387000,120,1.998,6.0,2025-11-30,False,False,44
Fiat,Sedici,5900.0,2006,178500,88,1.899,6.0,2025-02-28,False,True,14
Audi,A3 Sedan,17300.0,2017,85000,81,1.6,5.0,2025-09-30,False,True,36
Audi,Q5,55000.0,2022,17500,150,2.0,7.0,2024-09-30,False,False,35
BMW,Serija 4 Coupe,18000.0,2014,183000,135,2.0,6.0,2024-05-31,False,True,51
Alfa Romeo,147,2500.0,2005,265042,88,1.91,6.0,2025-10-31,False,False,22
BMW,Serija 7,7470.0,2005,313000,160,2.993,8.0,2024-11-30,False,True,52
BMW,Serija 5,25700.0,2017,168000,140,2.0,7.0,2025-03-31,False,True,70
Citroen,C1,6999.0,2014,99500,52,1.0,6.0,2025-08-31,False,True,28
BMW,Serija 5,53900.0,2023,39000,135,1.998,6.0,2025-10-31,False,True,86
Fiat,Cinquecento,2970.0,1997,123600,29,0.899,6.0,2025-09-30,False,True,18
Audi,A5,20300.0,2015,143500,140,2.0,7.0,2025-08-31,False,False,47
Alfa Romeo,Giulietta,6500.0,2011,172000,77,1.598,5.0,2025-08-31,False,True,79
Fiat,Punto,500.0,2001,196000,44,1.2,6.0,,False,False,7
Audi,A4,30800.0,2023,10800,110,2.0,6.0,2025-04-30,False,True,57
Citroen,C3,5900.0,2015,159000,55,1.389,5.0,2025-01-31,False,True,37
Alfa Romeo,Giulietta,19000.0,2015,112000,177,1.75,12.0,2025-05-31,False,True,43
BMW,Serija 5,18600.0,2015,130000,140,2.0,8.0,2025-06-30,False,False,33
BMW,X3,21700.0,2015,209000,140,1.995,7.0,2024-06-30,False,True,27
BMW,Serija 3,18300.0,2012,240000,190,2.987,6.0,2024-09-30,False,True,42
BMW,Serija 2 Gran Tourer,11990.0,2017,170000,100,2.0,6.0,2025-02-28,False,False,61
Audi,A3 Sportback,17500.0,2019,51000,85,1.6,5.0,2024-12-31,False,True,41
Audi,A3,3700.0,2004,207000,110,1.984,8.0,2025-11-30,False,False,33
BMW,Serija 2 Active Tourer,17400.0,2017,154800,167,1.5,2.0,2025-10-31,False,True,77
BMW,Serija 3,21000.0,2018,142531,110,1.995,8.0,2024-12-31,False,True,18
Citroen,C4 Grand Picasso,14000.0,2020,168000,96,1.499,6.0,2025-10-31,False,False,57
BMW,Serija 2 Active Tourer,13300.0,2015,177000,110,1.995,6.0,2025-07-31,False,True,43
Audi,A4 Avant,25500.0,2019,163000,140,2.0,5.0,2024-07-31,False,True,43
BMW,Serija 3,11900.0,2012,164500,105,2.0,5.0,2025-04-30,False,True,30
Audi,A3,3000.0,2009,167000,92,1.4,7.0,,False,False,4
Audi,Q5,45800.0,2022,65000,150,2.0,7.0,2025-02-28,False,True,82
DS Automobiles,DS4,11500.0,2016,126500,88,1.56,6.0,2025-08-31,False,True,68
BMW,X6,21000.0,2012,260000,185,3.0,10.0,2025-05-31,False,True,43
Audi,A4,13900.0,2015,217000,110,1.968,6.0,2024-03-31,False,False,28
Audi,Q3,13450.0,2015,246000,110,1.968,7.0,2025-12-31,False,True,29
BMW,Serija 3 Touring,7300.0,2010,408000,130,2.0,6.0,2024-08-31,False,False,41
Fiat,Doblo,11000.0,2016,174000,77,1.598,6.0,2024-12-31,False,False,10
BMW,Serija 1,7200.0,2012,263000,135,2.0,5.0,2025-05-31,False,False,10
BMW,Serija 3,32999.0,2019,55000,110,1.995,7.0,2024-03-31,False,True,37
BMW,Serija 3 Touring,6500.0,2007,278100,130,1.995,4.0,2025-05-31,False,True,65
Audi,A4,30500.0,2019,119000,140,1.968,6.0,2025-03-31,False,False,54
Citroen,C5,4444.0,2008,320000,150,2.7,8.0,2024-12-31,False,False,53
BMW,Serija 8,60000.0,1990,250150,257,5.0,20.0,2025-03-31,False,False,22
Audi,A6,6000.0,2005,390000,165,3.0,9.0,2025-01-31,False,False,41
BMW,X4,49900.0,2018,66000,265,2.979,12.0,2025-02-28,False,True,89
Audi,A4,34800.0,2020,93000,150,2.0,5.0,2025-04-30,False,True,77
BMW,Serija 1,5600.0,2008,144000,90,1.6,7.0,2025-07-31,False,False,1
BMW,Serija 5 Touring,13500.0,2011,307000,150,2.999,7.0,2025-03-31,False,True,61
Citroen,C-Elysee,6800.0,2017,227000,73,1.6,4.0,2025-05-31,False,False,1
BMW,X1,19100.0,2017,147000,100,1.995,6.0,2025-02-28,False,True,77
Audi,A6 Allroad,1900.0,2004,450000,140,2.5,8.0,2024-10-31,False,True,47
BMW,Serija 3,4500.0,1995,300000,70,1.6,8.0,,False,False,5
Fiat,Tipo,7950.0,2018,108000,70,1.3,5.0,2025-11-30,False,True,35
Citroen,C3,4200.0,2012,220000,50,1.4,4.0,2025-09-30,False,False,24
BMW,Serija 3 Touring,7700.0,2011,135000,105,2.0,6.0,2025-04-30,False,False,29
Audi,A4,8900.0,2008,193000,105,1.968,7.0,2025-03-31,False,True,38
Audi,A4,11999.0,2014,220000,88,2.0,5.0,2024-09-30,False,True,21
